day_of month,name,info
6,Larry Haylor,", 76, Canadian football coach (Western Ontario Mustangs), heart attack."
6,Barbara Jacket,", 87, American track and field coach (Prairie View A&M) and athletic director."
6,F. Sionil José,", 97, Filipino writer (, , )."
6,Maria Klenskaja,", 70, Estonian actress (, , )."
6,E. F. K. Koerner,", 82, German linguist."
6,Mariano Laurenti,", 92, Italian film director (, , ) and actor."
6,Jo Manning,", 98, Canadian etcher, painter and author, euthanasia."
6,Carlo Meliciani,", 92, Italian operatic baritone."
6,Rómulo Méndez,", 83, Guatemalan football referee."
6,Volodymyr Pak,", 87, Ukrainian politician, deputy (2005–2006)."
6,Murray Peden,", 98, Canadian Air Force pilot and author."
6,Gloria Piedimonte,", 66, Italian actress (), singer and dancer (), complications from COVID-19."
6,Sidney Poitier,", 94, Bahamian-American actor (Oscar, 1963, ),  winner (), heart failure."
6,Julian Reed,", 85, Canadian politician, Ontario MLA (1975–1985), MP (1993–2004)."
6,Calvin Simon,", 79, American Hall of Fame singer (Parliament-Funkadelic)."
6,Tony Tallarico,", 88, American cartoonist."
6,Yoram Taharlev,", 83, Israeli songwriter and poet."
6,Samuel K. Tan,", 88, Filipino historian and academic, complications from COVID-19."
6,Kwasi Wiredu,", 90, Ghanaian philosopher."
6,Clive Zanda,", 82, Trinidad and Tobago jazz musician and architect, complications from diabetes."
6,Zhang Jiqing,", 83, Chinese Kunqu artist."
7,Amanda Asay,", 33, Canadian baseball player (national team), injuries sustained in skiing accident."
7,Ishmael Ashitey,", 67, Ghanaian politician, MP (1997–2009)."
7,Ahmad Bamba,", 79, Ghanaian Islamic scholar."
7,Stéphane Blet,", 52, French classical pianist and composer, fall."
7,Laurence Boissier,", 56, Swiss writer and artist."
7,Dee Booher,", 73, American professional wrestler (GLOW) and actress (, )."
7,Edward Bozek,", 71, American Olympic fencer (1972, 1976)."
7,Harpdog Brown,", 59, Canadian blues musician."
7,Guy Cavagnac,", 87, French filmmaker."
7,Tom Corston,", 72, Canadian Anglican prelate, bishop of Moosonee (2010–2013), cancer."
7,Gerson da Cunha,", 92, Indian actor (, , )."
7,Mino De Rossi,", 90, Italian road bicycle and track cyclist, Olympic champion (1952)."
7,Jack Dromey,", 73, British politician, MP (since 2010), heart failure."
7,José Évrard,", 76, French politician, deputy (since 2017), COVID-19."
7,Mark Forest,", 89, American bodybuilder and actor ()."
7,George Gerberman,", 79, American baseball player (Chicago Cubs)."
7,Lani Guinier,", 71, American civil rights theorist, complications from Alzheimer's disease."
7,Bobby Harrison,", 82, English rock drummer and singer (Procol Harum, Freedom, Snafu)."
7,"Robert Hughes, Baron Hughes of Woodside",", 90, British politician, MP (1970–1997) and chair of the Anti-Apartheid Movement (1976–1995)."
7,Anatoly Kvashnin,", 75, Russian military officer, chief of the general staff (1997–2004), COVID-19."
7,Francisco Laína,", 85, Spanish politician."
7,Liu Siqi,", 91, Chinese public figure."
7,Raymond Malenfant,", 91, Canadian businessman."
7,Robbie Moore,", 67, Canadian ice hockey player (Philadelphia Flyers, Washington Capitals)."
7,Ruby Moscoso de Young,", 80, Panamanian politician, first lady (1999–2004)."
7,Luis Pareto González,", 93, Chilean politician, three-time member and president (1973, 2001–2002) of the Chamber of Deputies."
7,François Perigot,", 95, French businessman and trade unionist, president of BusinessEurope (1988–1998) and CNPF (1986–1994)."
7,Jimmy Smith,", 91, English footballer (Chelsea, Leyton Orient)."
7,Jorge Sotomayor Tello,", 79, Peruvian-born Brazilian mathematician."
7,John Swantek,", 88, American Polish Catholic prelate, prime bishop (1985–2002)."
7,R. Dean Taylor,", 82, Canadian singer-songwriter (""Indiana Wants Me"", ""There's a Ghost in My House"") and producer (""Love Child"")."
7,Alexander Timofeevskiy,", 88, Russian writer, songwriter and screenwriter ()."
7,Vitaliano Trevisan,", 61, Italian writer, playwright, and actor (, ), suicide by drug overdose."
7,Eberhard Zeidler,", 95, German-born Canadian architect."
8,Baktash Abtin,", 48, Iranian poet and filmmaker, complications from COVID-19."
8,Ramesh Babu,", 56, Indian film producer (, ) and actor (), liver disease."
8,Eddie Basinski,", 99, American baseball player (Brooklyn Dodgers, Pittsburgh Pirates, Portland Beavers)."
8,Marilyn Bergman,", 93, American Hall of Fame songwriter (""The Way We Were"", ""The Windmills of Your Mind"", ""You Don't Bring Me Flowers""), Oscar winner (1969, 1974, 1984), respiratory failure."
8,Hanef Bhamjee,", 75–76, South African-British anti-apartheid activist."
8,Lourdes Castro,", 91, Portuguese abstract artist."
8,Bill Cornish,", 84, Australian-British legal scholar."
8,José Curiel,", 84, Venezuelan politician, governor of Falcón (1996–2000)."
8,Truus Dekker,", 99, Dutch actress (, )."
8,Don Dillard,", 85, American baseball player (Cleveland Indians, Milwaukee Braves)."
8,Robin Fernando,", 84, Sri Lankan actor (, , ), complications from Parkinson's disease."
8,Mike Gore,", 87, British-born Australian physicist."
8,Frank Hasenfratz,", 86, Hungarian-born Canadian businessman (Linamar)."
8,Andrew Jennings,", 78, British investigative journalist, aortic aneurysm."
8,Ramdas Kamat,", 90, Indian musician and actor."
8,Attila Kelemen,", 73, Romanian politician, deputy (1996–2016) and MEP (2007)."
8,Michael Lang,", 77, American concert producer, co-creator of Woodstock, non-Hodgkin lymphoma."
8,Aleksandr Lebedev-Frontov,", 61, Russian painter, collagist, and musician."
8,Peter G. Levine,", 61, American medical researcher."
8,Viktor Mazin,", 67, Russian weightlifter, Olympic champion (1980)."
8,Jaime Ostos,", 90, Spanish bullfighter, heart attack."
8,Michael Parks,", 78, American journalist and editor (, ), heart attack and kidney failure."
8,Carmelo Pujia,", 94, Italian politician, president of the Province of Catanzaro (1970–1975) and deputy (1983–1994)."
8,John Rambo,", 78, American high jumper, Olympic bronze medallist (1964), heart attack."
8,Nina Rocheva,", 73, Russian cross-country skier, Olympic silver medallist (1980)."
8,Stanislav Rudolf,", 89, Czech writer, screenwriter and dramaturge."
8,Hiranmay Sen Gupta,", 87, Bangladeshi nuclear physicist, member of the Bangladesh Academy of Sciences."
8,Sinan Al Shabibi,", 80, Iraqi economist, governor of the central bank (2003–2012)."
8,Howard Solomon,", 94, American businessman (Forest Laboratories)."
8,Sornphet Sornsuphan,", 73, Thai luk thung singer."
8,Manfred Srb,", 80, Austrian politician, MP (1986–1994)."
8,Kazuo Takahashi,", 91, Japanese politician, governor of Yamagata Prefecture (1993–2005)."
8,György Telegdy,", 94, Hungarian Olympic basketball player (1952)."
8,Keith Todd,", 80, Welsh footballer (Swansea Town, Pembroke Borough)."
9,Jim Bakhtiar,", 88, Iranian-born American college football player (Virginia Cavaliers)."
9,Harley Balic,", 25, Australian footballer (Fremantle, Melbourne)."
9,Khalid Balti,", 48–50, Pakistani militant commander, spokesman of the Tehrik-i-Taliban Pakistan, shot."
9,Bill Boomer,", 84, American swim coach (University of Rochester)."
9,Moe Brooker,", 81, American artist."
9,Franco Cavallo,", 89, Italian sailor, Olympic bronze medalist (1968)."
9,Viktor Chakrygin,", 37, Russian footballer (Dynamo Makhachkala, Zenit Penza, Anzhi Makhachkala)."
9,Michael Joe Cosgrave,", 83, Irish politician, TD (1981–1992, 1997–2002)."
9,Fiona Denison,", 51–52, Scottish academic, suicide."
9,Shakuntala Devi,", 90, Indian politician, MP (1957–1967)."
9,Nicholas Donnelly,", 83, British actor (, , )."
9,Richard Dorman,", 96, British diplomat, high commissioner to Vanuatu (1982–1985). "
9,Wael el-Ebrashy,", 58, Egyptian journalist and television presenter, complications from COVID-19."
9,Maria Ewing,", 71, American opera singer, cancer."
9,Andrée Fortin,", 68, Canadian sociologist and academic."
9,Tahani al-Gebali,", 71, Egyptian judge, vice president of the supreme constitutional court (2003–2012), COVID-19."
9,Derek Goldby,", 81, Australian theatre director."
9,Dwayne Hickman,", 87, American actor (, , ) and television director, complications from Parkinson's disease."
9,Akira Inoue,", 93, Japanese film director (, , ), stroke and pneumonia."
9,Mike Jones,", 80, Welsh painter."
9,Toshiki Kaifu,", 91, Japanese politician, prime minister (1989–1991), pneumonia."
9,Roman Karpyuk,", 57, Ukrainian teacher and politician, member (since 2010) and deputy chairman (since 2014) of the Volyn Oblast Council."
9,Abdelkrim Kerroum,", 85, Algerian footballer (FC Sète 34, Troyes, national team)."
9,Dušan Klein,", 82, Czech film director and screenwriter (, , )."
9,Jean Maheu,", 90, French government official, president of the Centre Pompidou (1983–1989), président-directeur général of Radio France (1989–1995)."
9,James Maraniss,", 76, American academic and librettist, Pulitzer Prize winner (2000), heart attack."
9,James Mtume,", 76, American musician (Mtume) and songwriter (""Juicy Fruit"", ""The Closer I Get to You"")."
9,Nguyễn Côn,", 105, Vietnamese politician, deputy prime minister (1967–1976)."
9,Giacomo Properzj,", 82, Italian politician, president of the Province of Milan (1990–1992)."
9,Bob Saget,", 65, American comedian, television presenter () and actor (, ), blunt head trauma."
9,Jouni Seistamo,", 82, Finnish Olympic ice hockey player (1960, 1964)."
9,Bob Shearer,", 73, Australian golf player and course architect, heart attack."
9,Desmond de Silva,", 78, Sri Lankan singer, heart attack."
9,Marc Wilkinson,", 92, Australian-British composer and conductor."
10,Herbert Achternbusch,", 83, German film director (, , ), writer, and painter."
10,Robert Allan Ackerman,", 77, American television and theatre director (, , ), kidney failure."
10,Johan Anuar,", 56, Indonesian politician, regent of Ogan Komering Ulu (2021), cancer."
10,Garry Bradbury,", 61–62, British-born Australian electronic musician. (death announced on this date)"
10,Marion Brash,", 90, German-born American actress (, )."
10,Jan Ciechanowicz,", 75, Lithuanian politician, member of the Supreme Soviet of the Soviet Union (1989–1991)."
10,Vladimir Dolgov,", 61, Ukrainian swimmer, Olympic bronze medalist (1980), stomach cancer."
10,James Drake,", 89, American photographer (), lung cancer."
10,Jim Drake,", 77, American film and television director (, , )."
10,Gérard Drouot,", 69, French artistic director and live performance organizer, leukemia."
10,Ciro Durán,", 84, Colombian screenwriter and film director ()."
10,Robert Durst,", 78, American convicted murderer, subject of , cardiac arrest."
10,Joyce Eliason,", 87, American television writer and producer (, , )."
10,Alfred Gager,", 79, Austrian footballer (Austria Wien, Wacker Wien, national team)."
10,Christian Gasc,", 76, French costume designer (, )."
10,Christian Görlitz,", 78, German film director."
10,Gerry Granahan,", 89, American singer-songwriter (""Leave Me Alone (Let Me Cry)"") and record producer."
10,Ian Greenberg,", 79, Canadian businessman, co-founder of Astral Media."
